,cf_T01_stacked
0,0.41246533447085393
1,0.2307302034167918
2,4.416442046103199
3,2.041521611058421
4,-0.8057238299741043
5,-0.5638156648884165
6,-0.7454199149264458
7,3.6749465278145177
8,-0.13967247719651538
9,-0.23852367943328215
10,2.617978318151799
11,0.07308469348899299
12,0.4468202645692359
13,0.1619374248554052
14,0.5337610527066622
15,0.923750828834365
16,2.1045545415519786
17,4.841147771743032
18,3.3510840319051836
19,0.4147302077124726
20,2.5787632375246856
21,1.791641756752771
22,0.4852998441916678
23,4.008682183848563
24,1.1288780459726102
25,-0.7859916947157385
26,0.9176857809217582
27,0.2307302034167918
28,-0.7624653958639209
29,0.04330238458052537
30,4.807081916436513
31,-0.10970194412493428
32,1.6619221844101455
33,1.8979210375856232
34,0.7485570076712407
35,-0.050662741252840406
36,0.5905017079178564
37,-0.7462981579613632
38,-0.7071359391665163
39,-0.5324105953037046
40,1.4111078796166303
41,0.41456477290675414
42,1.595038655707028
43,-0.38494035793955445
44,3.774779818060776
45,-0.34696534261133943
46,4.094136076623183
47,6.390060441310578
48,-0.4055764086682393
49,0.49745425164778545
50,1.0379721071493102
51,-0.4815914412139791
52,3.037197781454708
53,4.360583392432129
54,-0.35502667325060083
55,4.653225476432211
56,0.5060923517835474
57,1.819534223545054
58,1.9579717125839928
59,0.06125590513116027
60,0.3356479275986232
61,1.8649509829559507
62,0.5291770645436544
63,0.4510792885316208
64,-0.19308614554354536
65,0.347110389237419
66,-0.10578040158728437
67,2.079848829487073
68,1.4176738884943996
69,-0.2129598385127868
70,-0.45968652535038146
71,0.7441327461062488
72,0.4858642076932011
73,-0.17363170149851964
74,0.5180100582726388
75,-0.3760049981722029
76,5.844556637782859
77,-0.770988648419338
78,0.7361587507932527
79,3.2138728279631925
80,1.988172187689797
81,6.2032421736996195
82,-0.7774507277800139
83,0.3455985625846567
84,1.8864526508542916
85,-0.7337129880297738
86,6.703414394317938
87,-0.3503464131721311
88,-0.3570001452932008
89,-0.41433223319482204
90,0.843154504008008
91,-0.7548536789954648
92,1.6448760702148295
93,0.43300596489383236
94,1.616976478173388
95,-0.322392369412492
96,3.548942143319481
97,0.19387747144173467
98,-0.7267314047567918
99,0.11918155581209058
100,-0.777971077125429
101,1.9528176418176644
102,1.541982122819657
103,-0.6029363646546865
104,0.42148529582576594
105,4.951341680871417
106,-0.17885007880113757
107,0.7084770173316005
108,2.057900441253337
109,0.7441327461062488
110,0.3846097051797718
111,0.9019409457417963
112,-0.43699441579386133
113,2.5462362687684372
114,-0.0699333233998884
115,-0.7585861340168771
116,2.972538417202665
117,0.9870234653115735
118,0.8798496969901632
119,-0.3503266954133837
120,4.440366597470565
121,0.02731040667543117
122,0.3501579424897134
123,1.8421459202243986
124,0.7927626803022444
125,-0.4807559413003231
126,4.024832287465893
127,3.350557360431954
128,1.0285963719902882
129,0.7488912985058773
130,-0.7964941335440952
131,-0.26769253762986256
132,-0.07517965365574927
133,-0.32789100804612203
134,2.456081013000359
135,0.17827390908858654
136,-0.342151272644517
137,-0.7697182969823845
138,0.3099097985776324
139,0.5686606599240198
140,1.5104811540592011
141,-0.7224417685220491
142,3.215923833326308
143,2.2117832301176827
144,2.417932941861039
145,6.237016340871235
146,0.7609957819842323
147,-0.7823126985485866
148,1.937818967667789
149,1.527785662687529
150,0.7520739964871117
151,-0.08261866494752712
152,0.4140866944927839
153,1.6088569166889508
154,0.4262756478896817
155,0.10341296735552694
156,0.3356479275986232
157,1.1238781358771122
158,1.1355684142526943
159,3.4485063972536176
160,-0.32145141884943756
161,1.392318871654322
162,1.4967748170702502
163,2.1986490303473856
164,-0.4643231267749693
165,1.700846970944221
166,-0.6491591421201568
167,0.39972281059019554
168,1.4666711786410311
169,4.481378003198551
170,0.05324248742683961
171,0.34456137260893593
172,-0.727357641542944
173,1.7028134163683049
174,0.1238432236223051
175,0.49300501919058165
176,2.16558960313308
177,-0.021464338372785094
178,5.7270431888183975
179,0.36703758001242404
180,-0.7196944079900442
181,0.9707782443067929
182,-0.19989553422170692
183,2.4081414161546073
184,4.381393945980661
185,-0.2709171283178513
186,1.1431684799554325
187,-0.6424644696966714
188,3.4012516760053773
189,0.9958624025229621
190,-0.11189312160432711
191,2.5099283231781175
192,2.3398455472088275
193,2.406202489733917
194,6.692644402523998
195,0.050750994133002734
196,3.289431951964394
197,-0.09136805217753854
198,-0.11535698939389151
199,3.9815581553126793
200,0.1346144590978509
201,0.2307302034167918
202,4.260194928962411
203,0.47260493071155163
204,3.216925560067679
205,2.1779061463261513
206,-0.8085863192728704
207,-0.5818860236353345
208,1.6160087742861626
209,5.842766390652912
210,-0.1883399526858775
211,2.7846853880341174
212,0.08204792707523872
213,1.1364924558029827
214,0.04952112360430159
215,0.7157243620907108
216,-0.6222787405019236
217,-0.33811577577751406
218,1.9514931080321685
219,0.09476279191090012
220,1.8706661970839955
221,0.8602778508596989
222,-0.46745482406977085
223,1.4939109639053478
224,3.1397179256451633
225,3.752726481188898
226,2.645841042896299
227,0.21791447209181752
228,2.439492412216197
229,-0.6853773365233701
230,-0.35167689218734033
231,4.4014731429469585
232,1.5925025519077165
233,1.2761391540574238
234,-0.37791809471040105
235,0.210934657286989
236,0.3447172098951251
237,1.660222545783837
238,0.23608770885802466
239,2.899269893950798
240,0.9112594718327417
241,0.12776280320749403
242,6.4227082209670945
243,1.6612497534402537
244,6.5836117859360055
245,1.0586146268416095
246,-0.5664096848411244
247,0.06849359497994441
248,5.106480685176106
249,0.05890047923734889
250,0.3356479275986232
251,1.2096082557299734
252,-0.24289554703587074
253,-0.038991006150966526
254,0.08033847072688015
255,-0.761882875983882
256,1.024950816663669
257,2.8158070921221343
258,0.09729962364449754
259,-0.032464095024593694
260,0.41340843640900743
261,5.8016379273711305
262,0.3757384927411304
263,6.72414925157087
264,0.479592178230168
265,0.4747783604741095
266,-0.4842346870484321
267,0.5601153632270764
268,0.414698894372583
269,-0.07235212850700432
270,0.3447172098951251
271,3.5886895566281463
272,3.2801559050865303
273,-0.5122804581289266
274,1.1483193560634462
275,0.4034393387502705
276,0.5985406952704921
277,-0.7310546845309722
278,1.889754458916323
279,6.087243844184719
280,0.3930192904173075
281,0.02500874203077293
282,-0.3177371419189355
283,0.4147302077124726
284,-0.6805564431540854
285,5.256291468359494
286,3.373107878592797
287,4.767341629836128
288,-0.07121454707005688
289,-0.07169143494421265
290,4.802882348600917
291,0.147118976919139
292,-0.15946679553665355
293,2.848544814671711
294,0.3038740855896208
295,5.0924150323334905
296,-0.7158934695480434
297,0.40930368979838083
298,2.2173153117929707
299,1.9276002119758628
300,0.7274646623790183
301,0.8068572771705832
302,4.2660308690355855
303,-0.7097241206925895
304,3.2665302400850162
305,0.12829467795956212
306,3.6634459292589208
307,1.1548483266255594
308,1.5770887090467955
309,2.982307090579369
310,6.823756811445545
311,0.6486498590316504
312,1.8704984367755437
313,-0.7317602500932568
314,0.9034202991056601
315,0.05047745305481219
316,-0.031929286506949095
317,-0.05207817799915641
318,0.256410314235276
319,-0.8045631700501067
320,0.8999344068318501
321,-0.8148782603695403
322,-0.5480398814116854
323,0.0021939565631843945
324,0.22559113894469698
325,0.12776280320749403
326,-0.13560414496712983
327,2.4487267796305745
328,1.0752549301695764
329,0.4747783604741095
330,0.0793613244086741
